fecha,descripcion,monto,tipo,
2025-11-01,Supermercado Metro compras mes,250.50,gasto,
2025-11-02,Salario mensual empresa XYZ,3000.00,ingreso,
2025-11-03,Uber viaje al trabajo,15.50,gasto,
2025-11-04,Almuerzo restaurant,35.00,gasto,
2025-11-05,Netflix suscripción mensual,45.90,gasto,
2025-11-06,Gasolina grifo Repsol,150.00,gasto,
2025-11-07,Farmacia Inkafarma medicinas,85.30,gasto,
2025-11-08,Pago alquiler departamento,1200.00,gasto,
2025-11-09,Luz del Sur recibo mensual,120.00,gasto,
2025-11-10,Claro internet y telefono,89.90,gasto,
2025-11-12,Cine peliculas con amigos,45.00,gasto,
2025-11-13,Venta de muebles usados,200.00,ingreso,
2025-11-14,Comida rapida McDonald's,25.00,gasto,
2025-11-15,Transporte publico Metropolitano,10.00,gasto,
2025-11-16,Venta de ropa en buen estado,150.00,ingreso,
2025-11-17,Cafeteria Starbucks,12.50,gasto,
2025-11-18,Reparacion laptop en tienda,80.00,gasto,
2025-11-19,Venta de libros usados,60.00,ingreso,
2025-11-20,Donacion a ONG local,100.00,gasto,
2025-11-21,Compra de regalos navidad,300.00,gasto,
2025-11-22,Ingreso por freelance proyecto,500.00,ingreso,

